"Nivåer vv"	"7PCBs"	"ΣDDTs"	"ΣHCHs"	"HCB"	"TNC"	"Norm.til fiskevekt:"	"Year"	"PCB7/wish weight"	"SumDDT/fish weight"	"SumHCH/fish weight"	"HCB/fish weight"	"TNC/fish weight"		"levervekt"	"LSI"	"fett %"
"2000had1"	74.8222186396306	41.4230521019781	3.54485575201033	4.58513932244387	17.2426238059998		2000	0.321125401886827	0.177781339493468	0.015213973184594	0.019678709538386	0.074002677278969				37.4952332232712
"2000had2"	74.3001307983068	58.6638523763395	3.00147534799544	5.58868987354799	15.5759768486023		2000	0.312185423522297	0.246486774690502	0.012611240957964	0.023481890224992	0.06544528087648				30.8563480527292
"2000had3"	51.5600714435568	15.9199172529479	2.46321519646699	3.22386199513858	5.24514615535736		2000	0.212181363965254	0.065514062769333	0.010136688051305	0.013266921790694	0.021584963602294				23.6119228521332
"2000had4"	111.164833053306	70.9183819784084	2.75088845140817	7.59743898015586	32.0180950164795		2000	0.407197190671451	0.259774292961203	0.010076514474023	0.027829446813758	0.117282399327764				31.3825253063399
"2000had5"	51.6790662595304	23.2415896937309	3.88237582987313	4.87269198856666	7.76507186889648		2000	0.210077505120042	0.094478006885085	0.01578201556859	0.019807691010434	0.031565332800392				37.7272727272727
"2000had6"	73.5439514048048	45.8414122547256	2.86476360840788	5.28116788700572	12.9118671417236		2000	0.343663324321518	0.214212206797783	0.013386745833682	0.024678354612176	0.060335827765064				27.4575607994221
"2000had7"	75.5185275266122	36.7968302346417	4.52884224716763	11.089	16.2000436782837		2000	0.084567220074594	0.041205856925691	0.005071491878127	0.012417693169093	0.018141146336264				53.7043466185252
"2000had8"	70.202423972718	40.8954305835068	3.70154710276256	7.05356887920061	16.1257181167603		2000	0.317658027025873	0.185047197210438	0.016749081912953	0.031916601263351	0.072967050302083				37.1397223679817
"2000had9"	60.8072095682292	51.9042218322866	3.78837000664316	6.94850996296736	13.6016047000885		2000	0.228598532211388	0.195128653504837	0.014241992506177	0.026122217905892	0.051133852255972				40.6266266266266
"2000had10"	61.9364740233868	45.4683014858747	3.61951970345945	8.09418543212814	6.91050028800964		2000	0.249743846868495	0.183339925346269	0.014594837513949	0.032637844484388	0.027864920516168				36.0221264495491
"2000had11"	36.3570291129872	16.6007090900675	4.61647957372043	5.23647804584471	6.39257311820984		2000	0.091810679578251	0.041920982550676	0.011657776701314	0.013223429408699	0.016142861409621				44.4735171592938
"2000had12"	205.229526737763	79.920857947669	2.11047708701972	2.76134210253076	18.6872682571411		2000	0.161343967561135	0.062830863166407	0.001659180099858	0.002170866432807	0.014691248629828				20.1434543036291
"2000had13"	70.8915454081725	65.8908848252031	3.8837668864835	6.0785473579017	18.589262008667		2000	0.054827181290157	0.050959694373707	0.003003686687149	0.004701119379661	0.014376846101057				39.8743062357166
"2000had14"	84.3611503146822	53.2659713078756	3.21606968598462	5.89927594774053	20.624719619751		2000	0.285003886198251	0.17995260576985	0.010865100290489	0.019929986309934	0.069678106823483				38.0445474985947
"2000had15"	64.481930554728	51.1303968264838	5.40851869214202	12.579	16.8723015785217		2000	0.068162717288296	0.054049045271125	0.00571725020311	0.013297040169133	0.017835413930784				57.3762081443819
"2000had16"	88.8082415832032	50.0155834549223	4.76832631025354	14.001	22.7952194213867		2000	0.093976975220321	0.052926543338542	0.005045847947358	0.014815873015873	0.024121925313637				51.944173335936
"2000had17"	68.8776464416296	32.1919793332636	5.14717025478967	8.39904896565713	10.1512098312378		2000	0.086529706584962	0.04044218509204	0.006466294289937	0.010551569052333	0.012752776169897				54.5219123505976
"2000had18"	70.1968126493448	33.0713234808645	4.13591744341647	6.84051383359474	17.0494871139526		2000	0.310605365705065	0.146333289738339	0.018300519661135	0.030267760325641	0.075440208468817				40.3085344613088
"2000had19"	54.7692055420921	28.9898207144288	3.72236755865379	6.04057140662917	13.6441960334778		2000	0.186289814769021	0.098604832362003	0.012661114145081	0.020546161247038	0.046408830045843				37.4857142857143
"2000had20"	84.1320741437376	55.1954881936545	3.92125310787196	7.88462421041913	18.5795865058899		2000	0.242455545082817	0.159064807474509	0.01130044123306	0.02272225997239	0.053543476962219				42.469525959368
"2000had21"	37.4116219882708	23.2227701408847	3.09844320084267	4.81285951536847	11.3758206367493		2000	0.147872023669055	0.09178960529994	0.012246811070524	0.019023160139796	0.044963717931815				32.6250494918833
"2000had22"	53.4211336509907	29.1628018430492	3.98386603239305	5.68517134524882	11.9501235485077		2000	0.197856050559225	0.108010377196479	0.014755059379234	0.021056190167588	0.044259716846325				41.0385523210071
"2000had23"	56.2989918727544	10.3373420617936	1.17253834785924	2.27727036872238	7.1719765663147		2000	0.258252256297039	0.047419000283457	0.005378616274584	0.010446194351938	0.032898975074838				10.8705842959986
"2000had24"	38.496885272194	8.54030743379553	0.576801434565823	1.27979080843943	3.33538663387299		2000	0.234737105318256	0.052075045328022	0.003517081918084	0.007803602490484	0.020337723377274				6.20929585304758
"2000had25"	85.3430660429876	31.4817607643781	3.38634261343213	7.61981891628238	15.6858506202698		2000	0.067732592097609	0.024985524416173	0.002687573502724	0.006047475330383	0.012449087793865				45.1327834677785
"2003had1"	92.5623286580301	60.7334974535816	3.51511312024304	12.2375952768621	17.8515792639147		2003	0.138152729340343	0.090647011124749	0.0052464374929	0.018265067577406	0.026644148155097		22	3.28358208955224	50.8654726107988
"2003had2"	237.790684951636	103.389083677389	2.94098177802905	10.5142736728896	30.1048515027367		2003	0.28649480114655	0.124565161057095	0.003543351539794	0.012667799605891	0.036270905424984		17	2.04819277108434	42.4270910436714
