"Nivåer vv"	"7PCBs"	"ΣDDTs"	"ΣHCHs"	"HCB"	"TNC"	"Norm.til fiskevekt:"	"Year"	"PCB7/wish weight"	"SumDDT/fish weight"	"SumHCH/fish weight"	"HCB/fish weight"	"TNC/fish weight"		"levervekt"	"LSI"	"fett %"
"1992cod1"	108.955	67.502	1.834	2.425	30.893		1992	0.43582	0.270008	0.007336	0.0097	0.123572		2.8	1.12	5.5
"1992cod2"	192.498	117.92	5.319	8.92	52.075		1992	0.726407547169811	0.444981132075472	0.020071698113208	0.033660377358491	0.196509433962264		2.8	1.05660377358491	22.9
"1992cod3"	251.202	146.787	5.464	15.524	71.227		1992	0.707611267605634	0.413484507042254	0.015391549295775	0.043729577464789	0.200639436619718		7.6	2.14084507042253	32
"1992cod4"	229.089	168.514	4.701	12.851	68.988		1992	0.5727225	0.421285	0.0117525	0.0321275	0.17247		4.8	1.2	17.2
"1992cod5"	365.621	249.641	7.569	32.591	96.475		1992	1.26076206896552	0.860831034482759	0.0261	0.11238275862069	0.332672413793103		4.9	1.68965517241379	35.2
"1992cod6"	74.401	59.749	1.28	2.361	22.861		1992	0.354290476190476	0.284519047619048	0.006095238095238	0.011242857142857	0.108861904761905		3.4	1.61904761904762	4.5
"1992cod7"	288.855	195.486	5.993	25.857	79.188		1992	0.614585106382979	0.415927659574468	0.012751063829787	0.055014893617021	0.168485106382979		10	2.12765957446808	27.3
"1992cod8"	254.817	162.458	4.922	20.328	62.17		1992	0.7386	0.470892753623188	0.014266666666667	0.058921739130435	0.180202898550725		6.2	1.79710144927536	22.1
"1992cod9"	138.401	101.809	1.665	6.23	37.146		1992	0.564902040816327	0.41554693877551	0.006795918367347	0.025428571428572	0.151616326530612		3.8	1.55102040816327	7.7
"1992cod10"	216.041	173.759	7.48	27.892	62.085		1992	0.508331764705882	0.408844705882353	0.0176	0.065628235294118	0.146082352941176		8.8	2.07058823529412	42.1
"1992cod11"	457.569	202.151	8.269	32.675	65.406		1992	0.494669189189189	0.218541621621622	0.008939459459459	0.035324324324324	0.070709189189189		33.9	3.66486486486486	60.2
"1992cod12"	353.805	192.182	7.277	26.434	82.379		1992	0.357378787878788	0.194123232323232	0.007350505050505	0.02670101010101	0.083211111111111		30.4	3.07070707070707	52.1
"1992cod13"	170.016	130.35	10.297	39.464	49.398		1992	0.250023529411765	0.191691176470588	0.015142647058824	0.058035294117647	0.072644117647059		28.8	4.23529411764706	46.5
"1992cod14"	520.155	236.832	8.68	25.076	85.592		1992	0.293872881355932	0.133803389830508	0.00490395480226	0.014167231638418	0.048357062146893				37
"1992cod15"	203.847	141.221	11.503	29.949	53.215		1992	0.15384679245283	0.106581886792453	0.008681761006289	0.022603018867925	0.040162515723271		88.7	6.69433962264151	70.2
"1992cod16"	252.127	117.81	7.982	23.458	67.101		1992	0.280141111111111	0.1309	0.008868888888889	0.026064444444445	0.074556666666667		32.5	3.61111111111111	47.1
"1992cod17"	290.71	145.48	10.328	31.45	66.224		1992	0.240256198347107	0.120231404958678	0.008535537190083	0.02599173553719	0.054730578512397		57.8	4.77685950413223	61.9
"1992cod18"	381.831	203.603	10.725	32.402	69.513		1992	0.33493947368421	0.178599122807018	0.009407894736842	0.028422807017544	0.060976315789474		48.4	4.24561403508772	61
"1992cod19"	165.369	134.709	10.429	31.036	46.864		1992	0.091871666666667	0.074838333333333	0.005793888888889	0.017242222222222	0.026035555555556		108.2	6.01111111111111	62.7
"1992cod20"	222.653	169.569	10.084	22.418	56.572		1992	0.141817197452229	0.108005732484076	0.006422929936306	0.01427898089172	0.036033121019108		74.5	4.74522292993631	55.9
"1992cod21"	301.865	189.886	10.512	28.266	75.147		1992	0.214850533807829	0.135150177935943	0.007481850533808	0.020118149466192	0.053485409252669		55.6	3.95729537366548	59.2
"1992cod22"	331.077	234.89	10.256	35.755	78.083		1992	0.17065824742268	0.121077319587629	0.005286597938144	0.018430412371134	0.040248969072165		90.9	4.68556701030928	62.7
"1992cod23"	616.742	248.155	4.024	16.578	82.908		1992	0.685268888888889	0.275727777777778	0.004471111111111	0.01842	0.09212		13.4	1.48888888888889	20.2
"1992cod24"	337.903	224.658	8.698	39.418	84.359		1992	0.223038283828383	0.148289108910891	0.005741254125413	0.026018481848185	0.055682508250825		52.1	3.43894389438944	52.6
"1998cod1"	217.172	184.692	2.617	18.693	57.015		1998	0.180976666666667	0.15391	0.002180833333333	0.0155775	0.0475125				20.6015299026426
"1998cod2"	108.547	121.362	3.854	4.623	31.643		1998	0.235971739130435	0.263830434782609	0.008378260869565	0.01005	0.068789130434783				25.1144855336271
"1998cod3"	85.404	70.889	4.13	13.17	31.537		1998	0.040668571428572	0.033756666666667	0.001966666666667	0.006271428571429	0.015017619047619				34.8950118764846
"1998cod4"	185.682	107.933	1.103	2.73	34.365		1998	0.215909302325581	0.125503488372093	0.001282558139535	0.003174418604651	0.039959302325581				8.10287584755671
"1998cod5"	203.107	109.18	1.819	8.646	45.083		1998	0.194360765550239	0.104478468899522	0.001740669856459	0.008273684210526	0.043141626794258				15.2566883586406
"1998cod6"	248.954	201.324	3.594	10.717	60.316		1998	0.321230967741935	0.259772903225806	0.004637419354839	0.013828387096774	0.077827096774194				29.8446110311274
"1998cod7"	72.432	26.496	0.468	1.062	12.166		1998	0.107306666666667	0.039253333333333	0.000693333333333	0.001573333333333	0.018023703703704				4.25051557581679
"1998cod8"	162.803	129.247	2.779	13.58	60.405		1998	0.071404824561404	0.056687280701754	0.001218859649123	0.005956140350877	0.026493421052632				20.5526152672484
"1998cod9"	138.332	114.663	3.339	10.971	39.625		1998	0.230553333333333	0.191105	0.005565	0.018285	0.066041666666667				29.538206618318
"1998cod10"	188.631	173.406	2.551	12.864	65.918		1998	0.237271698113207	0.218120754716981	0.003208805031447	0.016181132075472	0.08291572327044				19.207650273224
